instance	n	subtree	mutation_count	RSS	Signature.1	Signature.2	Signature.3	Signature.4	Signature.5	Signature.6	Signature.7	Signature.8	Signature.9	Signature.10	Signature.11	Signature.12	Signature.13	Signature.14	Signature.15	Signature.16	Signature.17	Signature.18	Signature.19	Signature.20	Signature.21	Signature.22	Signature.23	Signature.24	Signature.25	Signature.26	Signature.27	Signature.28	Signature.29	Signature.30
m5_S37_k1_eps0.1.P_eps.txt	5	1;3;2;5;4	499	46.21197	 0.04809579	 0.1490543	 0	 0	 0	 0.05502748	 0	 0	 0	 0.03599832	 0	 0	 0	 0.08146196	 0.07174474	 0.1595608	 0	 0.090442	 0.01081658	 0.02536272	 0.1256582	 0.01609831	 0.0251142	 0	 0.08676809	 0.01879653	 0	 0	 0	 0
m5_S37_k1_eps0.2.P_eps.txt	5	1;3;2;5	369	42.78132	 0.06549199	 0	 0.02385454	 0.1032625	 0	 0.04474704	 0.008857105	 0	 0	 0	 0	 0.1277831	 0.1254131	 0.007328956	 0	 0.007154534	 0.04772343	 0	 0	 0	 0.02591458	 0	 0.009659522	 0.1639123	 0.1084818	 0.007695732	 0	 0.02822933	 0.09449031	 0
m5_S37_k1_eps0.2.P_eps.txt	5	4	35	6.567052	 0	 0	 0	 0	 0	 0.04685046	 0	 0	 0	 0.2106232	 0	 0	 0	 0.3641198	 0	 0	 0	 0	 0	 0	 0	 0	 0.05770486	 0.04468957	 0	 0	 0.08910855	 0	 0	 0.1869036
m5_S37_k1_eps0.3.P_eps.txt	5	1;3;5;4	330	61.00682	 0	 0.00824165	 0.0413076	 0	 0	 0	 0	 0	 0	 0	 0.06548342	 0.08685011	 0	 0	 0	 0.04648377	 0.02803237	 0.02735366	 0	 0	 0	 0.08343696	 0.150744	 0.1135487	 0.02277539	 0.01595643	 0.04361175	 0.03239261	 0.1611013	 0.07268025
m5_S37_k1_eps0.3.P_eps.txt	5	2	127	14.22576	 0	 0.01223602	 0	 0	 0.06827252	 0	 0	 0	 0.01829583	 0	 0.103861	 0	 0.06564765	 0.01848257	 0	 0	 0	 0.2220193	 0.04501861	 0	 0.04573807	 0	 0.1222447	 0.01483835	 0	 0.06219997	 0	 0	 0.2011455	 0
m5_S37_k2_eps0.1.P_eps.txt	5	1;3;5	278	26.62086	 0	 0	 0	 0.03418388	 0.08433868	 0	 0.001909709	 0	 0	 0	 0	 0.003262049	 0	 0.1748381	 0.002244237	 0	 0.04701584	 0	 0	 0.1533267	 0	 0.01007267	 0	 0	 0.03920185	 0	 0.228843	 0.07816195	 0	 0.1426014
m5_S37_k2_eps0.1.P_eps.txt	5	2	64	7.000359	 0	 0	 0	 0	 0.002949232	 0.013935	 0	 0	 0	 0	 0.01241459	 0.03017239	 0.02308553	 0	 0.2320601	 0.4626435	 0.008983919	 0	 0	 0.02581288	 0	 0	 0.02223437	 0	 0.03879079	 0	 0.04533862	 0	 0.08157913	 0
m5_S37_k2_eps0.1.P_eps.txt	5	4	55	4.689167	 0	 0	 0	 0	 0	 0.03921112	 0	 0	 0	 0.09834715	 0	 0	 0.2277053	 0.01711557	 0.004789305	 0	 0.1799271	 0	 0	 0	 0.2712553	 0	 0	 0	 0	 0.1616491	 0	 0	 0	 0
m5_S37_k2_eps0.2.P_eps.txt	5	1;3;2	349	35.9785	 0.02856556	 0	 0	 0	 0	 0.0209698	 0.002065323	 0.03852157	 0	 0	 0	 0.06223516	 0.1105858	 0	 0.02834853	 0.03721068	 0	 0.03652044	 0	 0.009988782	 0	 0.4286033	 0	 0	 0	 0.1092902	 0	 0	 0.04676679	 0.04032798
m5_S37_k2_eps0.2.P_eps.txt	5	5	73	11.32915	 0	 0	 0	 0.04563238	 0	 0	 0	 0	 0.1669592	 0.1395968	 0	 0.02833141	 0	 0.08068596	 0.1275156	 0.02930879	 0	 0.04496207	 0	 0	 0.0448923	 0.01984068	 0.03441157	 0.2139312	 0	 0	 0	 0	 0	 0.02393206
